country,region,count_score,id_score,focus,cluster_label,notes
Germany,Western Europe,1.8,7.0,0,mature,"Voter notification card + ID on request; results within hours"
France,Western Europe,1.8,8.5,0,mature,"National ID or passport required; projections published at 8pm closing"
Netherlands,Western Europe,1.8,8.0,0,mature,"Valid ID required; automatic voter registration; same-night results"
Sweden,Western Europe,2.0,8.5,0,mature,"Government-issued ID; automatic population registry"
Norway,Western Europe,2.0,8.5,0,mature,"Photo ID (passport/license/bank card); same-night results"
Belgium,Western Europe,2.0,8.5,0,mature,"ID card + invitation card both required; compulsory voting"
Spain,Western Europe,1.8,8.5,0,mature,"Government-issued ID mandatory; same-night results"
Italy,Western Europe,2.2,8.5,0,mature,"National identity card (Carta d'identita); same-night results"
Switzerland,Western Europe,2.0,8.0,0,mature,"ID + government polling card required; predominantly postal voting"
Austria,Western Europe,1.8,8.5,0,mature,"Photo ID; automatic voter registration; same-night results"
Denmark,Western Europe,1.8,8.5,0,mature,"Photo ID required; same-night results"
Finland,Western Europe,2.0,8.5,0,mature,"Photo ID; automatic registration; same-night results"
Portugal,Western Europe,1.8,8.5,0,mature,"National ID or passport; same-night results"
Ireland,Western Europe,2.8,8.0,0,mature,"Photo ID since 2023; manual counting takes overnight to next day"
Japan,East Asia,2.0,6.5,0,mature,"Voter notification card + Basic Resident Register check; single-day election"
South Korea,East Asia,2.0,9.0,0,mature,"Mandatory government photo ID; centralized electronic counting"
Singapore,Southeast Asia,1.5,9.5,0,mature,"NRIC mandatory carry; results within hours"
Taiwan,East Asia,2.0,8.5,0,mature,"National ID card; high-efficiency electoral commission"
Israel,Middle East,2.0,9.0,0,mature,"National ID (Teudat Zehut); proportional system speeds counting"
Canada,North America,2.5,8.5,0,mature,"Government photo ID; federal elections conclude same night"
United Kingdom,Western Europe,2.5,8.0,0,mature,"Photo ID since 2023; results overnight to next morning"
California (USA),North America,6.5,4.0,1,transitional,"Signature-matching verification; 7-30 day rolling mail ballot count; no photo ID"
Colombia,Latin America,4.5,3.5,0,transitional,"Registration card check; same-night preliminary but 7-30 day certification"
Panama,Latin America,4.0,3.5,0,transitional,"Voter registration + signature; approx 7-14 days"
Guinea,West Africa,5.5,3.0,0,transitional,"Photo ID nominally required but weakly enforced; 7-14 days"
Venezuela,Latin America,9.5,2.0,0,fragile,"CNE refused to publish precinct-level data; 2024 results rejected by most nations"
Nicaragua,Latin America,7.0,2.0,0,fragile,"No meaningful independent oversight; authoritarian regime"
Haiti,Caribbean,8.5,1.5,0,fragile,"No photo ID; 7-30+ days; results frequently annulled; state near-collapse"
Bolivia,Latin America,7.5,3.0,0,fragile,"2019: unexplained 24-hour counting halt triggered political crisis"
Peru,Latin America,7.0,4.5,0,fragile,"2021: certification delayed 6 weeks; 2026: renewed delays and fraud allegations"
Honduras,Latin America,7.5,3.0,0,fragile,"2025: 14+ days post-vote with no declared winner"
Guatemala,Latin America,8.0,3.5,0,fragile,"2023: judicial actors blocked certification for ~5 months"
DR Congo,Central Africa,8.0,2.5,0,fragile,"Poor infrastructure; chaotic data; repeated fraud allegations"
Somalia,East Africa,9.0,1.0,0,fragile,"Indirect elections; no unified ID system; active conflict zones"
Sudan,East Africa,9.0,1.5,0,fragile,"Civil war; electoral mechanisms collapsed"
Mali,West Africa,8.5,2.0,0,fragile,"Military junta; electoral legitimacy in question"
